date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type
2013-01-02,699692.0,10.463,,2,2,13,93.14,2111.0,Work
2013-01-03,699692.0,5.63,,3,3,12,92.97,1833.0,Work
2013-01-04,699692.0,8.038,,4,4,11,93.12,1863.0,Work
2013-01-05,699692.0,9.131,,5,5,10,93.14666666666668,1509.0,Weekend
2013-01-06,699692.0,8.435,,6,6,9,93.17333333333336,520.0,Weekend
2013-01-07,699692.0,11.049,,0,7,8,93.2,1807.0,Work
2013-01-08,699692.0,17.814,,1,8,7,93.21,1869.0,Work
2013-01-09,699692.0,7.671,,2,9,6,93.08,1910.0,Work
2013-01-10,699692.0,1.652,,3,10,5,93.81,1679.0,Work
2013-01-11,699692.0,14.572,,4,11,4,93.6,1813.0,Work
2013-01-12,699692.0,8.128,,5,12,3,93.82333333333332,1473.0,Weekend
2013-01-13,699692.0,3.395,,6,13,2,94.04666666666664,542.0,Weekend
2013-01-14,699692.0,3.239,,0,14,1,94.27,1780.0,Work
2013-01-15,699692.0,0.0,,1,0,0,93.26,1680.0,Work
2013-01-16,699692.0,16.239,,2,1,15,94.28,1933.0,Work
2013-01-17,699692.0,12.504,,3,2,14,95.49,1786.0,Work
2013-01-18,699692.0,9.813,,4,3,13,95.61,1745.0,Work
2013-01-19,699692.0,8.87,,5,4,12,95.73,1389.0,Weekend
2013-01-20,699692.0,7.246,,6,5,11,95.85,507.0,Weekend
2013-01-21,699692.0,13.379,,0,6,10,95.97,1770.0,Work
2013-01-22,699692.0,6.819,,1,7,9,96.09,1762.0,Work
2013-01-23,699692.0,26.242,,2,8,8,95.06,1873.0,Work
2013-01-24,699692.0,2.999,,3,9,7,95.35,1616.0,Work
2013-01-25,699692.0,10.749,,4,10,6,95.15,1770.0,Work
2013-01-26,699692.0,8.605,,5,11,5,95.41666666666669,1295.0,Weekend
2013-01-27,699692.0,14.248,,6,12,4,95.68333333333334,542.0,Weekend
2013-01-28,699692.0,4.888,,0,13,3,95.95,1738.0,Work
2013-01-29,699692.0,12.681,,1,14,2,97.62,1772.0,Work
2013-01-30,699692.0,11.587,,2,15,1,97.98,1877.0,Work
2013-01-31,699692.0,12.018,,3,0,0,97.65,1707.0,Work
2013-02-01,699692.0,16.91,,4,1,14,97.46,1806.0,Work
2013-02-02,699692.0,8.891,,5,2,13,97.04333333333332,1377.0,Weekend
2013-02-03,699692.0,1.998,,6,3,12,96.62666666666668,531.0,Weekend
2013-02-04,699692.0,5.992,,0,4,11,96.21,1714.0,Work
2013-02-05,699692.0,8.531,,1,5,10,96.68,1775.0,Work
2013-02-06,699692.0,9.211,,2,6,9,96.44,1853.0,Work
2013-02-07,699692.0,13.677,,3,7,8,95.84,1727.0,Work
2013-02-08,699692.0,25.471,,4,8,7,95.71,1878.0,Work
2013-02-09,699692.0,4.817,,5,9,6,96.14333333333332,1104.0,Weekend
2013-02-10,699692.0,1.496,,6,10,5,96.57666666666668,374.0,Weekend
2013-02-11,699692.0,1.694,,0,11,4,97.01,396.0,Holiday
2013-02-12,699692.0,1.867,,1,12,3,97.48,487.0,Holiday
2013-02-13,699692.0,7.714,,2,13,2,97.03,1921.0,Work
2013-02-14,699692.0,20.041,,3,14,1,97.3,2119.0,Work
2013-02-15,699692.0,8.805,,4,0,0,95.95,1787.0,Work
2013-02-16,699692.0,8.72,,5,1,12,96.135,1263.0,Weekend
2013-02-17,699692.0,4.739,,6,2,11,96.32,399.0,Weekend
2013-02-18,699692.0,4.798,,0,3,10,96.505,1742.0,Work
2013-02-19,699692.0,1.294,,1,4,9,96.69,1806.0,Work
2013-02-20,699692.0,10.928,,2,5,8,94.92,1835.0,Work
2013-02-21,699692.0,10.629,,3,6,7,92.79,1756.0,Work
2013-02-22,699692.0,8.054,,4,7,6,93.12,1805.0,Work
2013-02-23,699692.0,6.361,,5,8,5,92.99333333333334,1448.0,Weekend
2013-02-24,699692.0,8.889,,6,9,4,92.86666666666667,512.0,Weekend
2013-02-25,699692.0,1.388,,0,10,3,92.74,1760.0,Work
2013-02-26,699692.0,14.74,,1,11,2,92.63,1804.0,Work
2013-02-27,699692.0,2.916,,2,12,1,92.84,1845.0,Work
2013-02-28,699692.0,8.72,,3,0,0,92.03,1763.0,Work
2013-03-01,699692.0,10.993,,4,1,14,90.71,1916.0,Work
2013-03-02,699692.0,2.818,,5,2,13,90.51666666666668,1332.0,Weekend
2013-03-03,699692.0,1.95,,6,3,12,90.32333333333332,547.0,Weekend
2013-03-04,699692.0,19.55,,0,4,11,90.13,1841.0,Work
2013-03-05,699692.0,7.417,,1,5,10,90.88,1750.0,Work
2013-03-06,699692.0,3.512,,2,6,9,90.47,1929.0,Work
2013-03-07,699692.0,5.534,,3,7,8,91.53,1751.0,Work
2013-03-08,699692.0,11.595,,4,8,7,92.01,1960.0,Work
2013-03-09,699692.0,10.773,,5,9,6,92.03,1337.0,Weekend
