date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type
2013-01-02,819206.0,0.0,,2,2,13,93.14,2111.0,Work
2013-01-03,819206.0,1.924,,3,3,12,92.97,1833.0,Work
2013-01-04,819206.0,2.793,,4,4,11,93.12,1863.0,Work
2013-01-05,819206.0,0.0,,5,5,10,93.14666666666668,1509.0,Weekend
2013-01-06,819206.0,1.076,,6,6,9,93.17333333333336,520.0,Weekend
2013-01-07,819206.0,1.62,,0,7,8,93.2,1807.0,Work
2013-01-08,819206.0,1.009,,1,8,7,93.21,1869.0,Work
2013-01-09,819206.0,2.633,,2,9,6,93.08,1910.0,Work
2013-01-10,819206.0,0.411,,3,10,5,93.81,1679.0,Work
2013-01-11,819206.0,1.904,,4,11,4,93.6,1813.0,Work
2013-01-12,819206.0,1.762,,5,12,3,93.82333333333332,1473.0,Weekend
2013-01-13,819206.0,3.369,,6,13,2,94.04666666666664,542.0,Weekend
2013-01-14,819206.0,3.482,,0,14,1,94.27,1780.0,Work
2013-01-15,819206.0,3.942,,1,0,0,93.26,1680.0,Work
2013-01-16,819206.0,0.74,,2,1,15,94.28,1933.0,Work
2013-01-17,819206.0,0.0,,3,2,14,95.49,1786.0,Work
2013-01-18,819206.0,0.0,,4,3,13,95.61,1745.0,Work
2013-01-19,819206.0,0.524,,5,4,12,95.73,1389.0,Weekend
2013-01-20,819206.0,1.16,,6,5,11,95.85,507.0,Weekend
2013-01-21,819206.0,0.52,,0,6,10,95.97,1770.0,Work
2013-01-22,819206.0,2.449,,1,7,9,96.09,1762.0,Work
2013-01-23,819206.0,1.38,,2,8,8,95.06,1873.0,Work
2013-01-24,819206.0,0.875,,3,9,7,95.35,1616.0,Work
2013-01-25,819206.0,1.769,,4,10,6,95.15,1770.0,Work
2013-01-26,819206.0,1.905,,5,11,5,95.41666666666669,1295.0,Weekend
2013-01-27,819206.0,1.731,,6,12,4,95.68333333333334,542.0,Weekend
2013-01-28,819206.0,7.427,,0,13,3,95.95,1738.0,Work
2013-01-29,819206.0,0.662,,1,14,2,97.62,1772.0,Work
2013-01-30,819206.0,0.0,,2,15,1,97.98,1877.0,Work
2013-01-31,819206.0,0.0,,3,0,0,97.65,1707.0,Work
2013-02-01,819206.0,2.845,,4,1,14,97.46,1806.0,Work
2013-02-02,819206.0,1.724,,5,2,13,97.04333333333332,1377.0,Weekend
2013-02-03,819206.0,0.525,,6,3,12,96.62666666666668,531.0,Weekend
2013-02-04,819206.0,1.747,,0,4,11,96.21,1714.0,Work
2013-02-05,819206.0,1.882,,1,5,10,96.68,1775.0,Work
2013-02-06,819206.0,1.345,,2,6,9,96.44,1853.0,Work
2013-02-07,819206.0,0.0,,3,7,8,95.84,1727.0,Work
2013-02-08,819206.0,2.825,,4,8,7,95.71,1878.0,Work
2013-02-09,819206.0,0.0,,5,9,6,96.14333333333332,1104.0,Weekend
2013-02-10,819206.0,0.0,,6,10,5,96.57666666666668,374.0,Weekend
2013-02-11,819206.0,0.524,,0,11,4,97.01,396.0,Holiday
2013-02-12,819206.0,0.485,,1,12,3,97.48,487.0,Holiday
2013-02-13,819206.0,0.0,,2,13,2,97.03,1921.0,Work
2013-02-14,819206.0,0.696,,3,14,1,97.3,2119.0,Work
2013-02-15,819206.0,1.267,,4,0,0,95.95,1787.0,Work
2013-02-16,819206.0,0.687,,5,1,12,96.135,1263.0,Weekend
2013-02-17,819206.0,0.0,,6,2,11,96.32,399.0,Weekend
2013-02-18,819206.0,5.149,,0,3,10,96.505,1742.0,Work
2013-02-19,819206.0,1.676,,1,4,9,96.69,1806.0,Work
2013-02-20,819206.0,0.585,,2,5,8,94.92,1835.0,Work
2013-02-21,819206.0,2.013,,3,6,7,92.79,1756.0,Work
2013-02-22,819206.0,3.967,,4,7,6,93.12,1805.0,Work
2013-02-23,819206.0,0.656,,5,8,5,92.99333333333334,1448.0,Weekend
2013-02-24,819206.0,0.0,,6,9,4,92.86666666666667,512.0,Weekend
2013-02-25,819206.0,2.184,,0,10,3,92.74,1760.0,Work
2013-02-26,819206.0,2.167,,1,11,2,92.63,1804.0,Work
2013-02-27,819206.0,0.631,,2,12,1,92.84,1845.0,Work
