date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type
2013-01-02,996606.0,7.293,,2,2,13,93.14,2111.0,Work
2013-01-03,996606.0,5.954,,3,3,12,92.97,1833.0,Work
2013-01-04,996606.0,4.812,,4,4,11,93.12,1863.0,Work
2013-01-05,996606.0,8.834,,5,5,10,93.14666666666668,1509.0,Weekend
2013-01-06,996606.0,1.852,,6,6,9,93.17333333333336,520.0,Weekend
2013-01-07,996606.0,9.12,,0,7,8,93.2,1807.0,Work
2013-01-08,996606.0,6.78,,1,8,7,93.21,1869.0,Work
2013-01-09,996606.0,7.363,,2,9,6,93.08,1910.0,Work
2013-01-10,996606.0,3.586,,3,10,5,93.81,1679.0,Work
2013-01-11,996606.0,9.987,,4,11,4,93.6,1813.0,Work
2013-01-12,996606.0,7.065,,5,12,3,93.82333333333332,1473.0,Weekend
2013-01-13,996606.0,10.382,,6,13,2,94.04666666666664,542.0,Weekend
2013-01-14,996606.0,9.185,,0,14,1,94.27,1780.0,Work
2013-01-15,996606.0,13.226,,1,0,0,93.26,1680.0,Work
2013-01-16,996606.0,4.486,,2,1,15,94.28,1933.0,Work
2013-01-17,996606.0,1.155,,3,2,14,95.49,1786.0,Work
2013-01-18,996606.0,0.504,,4,3,13,95.61,1745.0,Work
2013-01-19,996606.0,1.576,,5,4,12,95.73,1389.0,Weekend
2013-01-20,996606.0,8.172,,6,5,11,95.85,507.0,Weekend
2013-01-21,996606.0,5.371,,0,6,10,95.97,1770.0,Work
2013-01-22,996606.0,8.214,,1,7,9,96.09,1762.0,Work
2013-01-23,996606.0,7.142,,2,8,8,95.06,1873.0,Work
2013-01-24,996606.0,9.361,,3,9,7,95.35,1616.0,Work
2013-01-25,996606.0,10.181,,4,10,6,95.15,1770.0,Work
2013-01-26,996606.0,11.593,,5,11,5,95.41666666666669,1295.0,Weekend
2013-01-27,996606.0,5.364,,6,12,4,95.68333333333334,542.0,Weekend
2013-01-28,996606.0,11.197,,0,13,3,95.95,1738.0,Work
2013-01-29,996606.0,6.116,,1,14,2,97.62,1772.0,Work
2013-01-30,996606.0,5.427,,2,15,1,97.98,1877.0,Work
2013-01-31,996606.0,6.579,,3,0,0,97.65,1707.0,Work
2013-02-01,996606.0,11.639,,4,1,14,97.46,1806.0,Work
2013-02-02,996606.0,9.0,,5,2,13,97.04333333333332,1377.0,Weekend
2013-02-03,996606.0,1.278,,6,3,12,96.62666666666668,531.0,Weekend
2013-02-04,996606.0,5.15,,0,4,11,96.21,1714.0,Work
2013-02-05,996606.0,4.2,,1,5,10,96.68,1775.0,Work
2013-02-06,996606.0,8.888,,2,6,9,96.44,1853.0,Work
2013-02-07,996606.0,6.3,,3,7,8,95.84,1727.0,Work
2013-02-08,996606.0,13.147,,4,8,7,95.71,1878.0,Work
2013-02-09,996606.0,6.357,,5,9,6,96.14333333333332,1104.0,Weekend
2013-02-10,996606.0,2.398,,6,10,5,96.57666666666668,374.0,Weekend
2013-02-11,996606.0,0.0,,0,11,4,97.01,396.0,Holiday
2013-02-12,996606.0,4.645,,1,12,3,97.48,487.0,Holiday
2013-02-13,996606.0,19.035,,2,13,2,97.03,1921.0,Work
2013-02-14,996606.0,3.924,,3,14,1,97.3,2119.0,Work
2013-02-15,996606.0,8.709,,4,0,0,95.95,1787.0,Work
2013-02-16,996606.0,7.079,,5,1,12,96.135,1263.0,Weekend
2013-02-17,996606.0,6.192,,6,2,11,96.32,399.0,Weekend
2013-02-18,996606.0,6.836,,0,3,10,96.505,1742.0,Work
2013-02-19,996606.0,4.836,,1,4,9,96.69,1806.0,Work
2013-02-20,996606.0,6.233,,2,5,8,94.92,1835.0,Work
2013-02-21,996606.0,6.591,,3,6,7,92.79,1756.0,Work
2013-02-22,996606.0,4.63,,4,7,6,93.12,1805.0,Work
2013-02-23,996606.0,4.811,,5,8,5,92.99333333333334,1448.0,Weekend
2013-02-24,996606.0,5.581,,6,9,4,92.86666666666667,512.0,Weekend
2013-02-25,996606.0,9.117,,0,10,3,92.74,1760.0,Work
2013-02-26,996606.0,6.701,,1,11,2,92.63,1804.0,Work
2013-02-27,996606.0,7.975,,2,12,1,92.84,1845.0,Work
2013-02-28,996606.0,10.381,,3,0,0,92.03,1763.0,Work
2013-03-01,996606.0,6.86,,4,1,14,90.71,1916.0,Work
2013-03-02,996606.0,12.426,,5,2,13,90.51666666666668,1332.0,Weekend
2013-03-03,996606.0,1.846,,6,3,12,90.32333333333332,547.0,Weekend
2013-03-04,996606.0,14.957,,0,4,11,90.13,1841.0,Work
2013-03-05,996606.0,3.886,,1,5,10,90.88,1750.0,Work
2013-03-06,996606.0,6.9,,2,6,9,90.47,1929.0,Work
2013-03-07,996606.0,3.825,,3,7,8,91.53,1751.0,Work
2013-03-08,996606.0,10.496,,4,8,7,92.01,1960.0,Work
2013-03-09,996606.0,7.206,,5,9,6,92.03,1337.0,Weekend
2013-03-10,996606.0,3.276,,6,10,5,92.05,538.0,Weekend
2013-03-11,996606.0,6.864,,0,11,4,92.07,1874.0,Work
2013-03-12,996606.0,4.367,,1,12,3,92.44,1734.0,Work
2013-03-13,996606.0,2.627,,2,13,2,92.47,1841.0,Work
2013-03-14,996606.0,7.022,,3,14,1,93.03,1751.0,Work
2013-03-15,996606.0,7.474,,4,0,0,93.49,1812.0,Work
2013-03-16,996606.0,11.382,,5,1,15,93.56333333333332,1238.0,Weekend
2013-03-17,996606.0,13.907,,6,2,14,93.63666666666666,561.0,Weekend
2013-03-18,996606.0,5.172,,0,3,13,93.71,1696.0,Work
2013-03-19,996606.0,3.787,,1,4,12,92.44,1728.0,Work
2013-03-20,996606.0,1.9,,2,5,11,93.21,1879.0,Work
2013-03-21,996606.0,4.038,,3,6,10,92.46,1727.0,Work
2013-03-22,996606.0,12.126,,4,7,9,93.41,1689.0,Work
2013-03-23,996606.0,7.056,,5,8,8,93.79,1358.0,Weekend
2013-03-24,996606.0,3.931,,6,9,7,94.17,531.0,Weekend
2013-03-25,996606.0,8.991,,0,10,6,94.55,1770.0,Work
2013-03-26,996606.0,2.852,,1,11,5,95.99,1700.0,Work
2013-03-27,996606.0,8.96,,2,12,4,96.53,1840.0,Work
2013-03-28,996606.0,2.427,,3,13,3,97.24,1729.0,Work
2013-03-29,996606.0,1.019,,4,14,2,97.205,474.0,Work
2013-03-30,996606.0,6.665,,5,15,1,97.17,1002.0,Weekend
2013-03-31,996606.0,4.332,,6,0,0,97.135,464.0,Weekend
2013-04-01,996606.0,14.175,,0,1,14,97.1,1894.0,Work
2013-04-02,996606.0,4.087,,1,2,13,97.23,1705.0,Work
2013-04-03,996606.0,3.59,,2,3,12,95.02,1912.0,Work
2013-04-04,996606.0,6.289,,3,4,11,93.26,1723.0,Work
2013-04-05,996606.0,5.784,,4,5,10,92.76,1899.0,Work
2013-04-06,996606.0,7.202,,5,6,9,92.96,1349.0,Weekend
2013-04-07,996606.0,4.43,,6,7,8,93.16,521.0,Weekend
2013-04-08,996606.0,5.024,,0,8,7,93.36,1824.0,Work
2013-04-09,996606.0,8.403,,1,9,6,94.18,1744.0,Work
2013-04-10,996606.0,4.826,,2,10,5,94.59,1916.0,Work
2013-04-11,996606.0,0.613,,3,11,4,93.44,1638.0,Work
2013-04-12,996606.0,6.721,,4,12,3,91.23,1860.0,Work
2013-04-13,996606.0,8.85,,5,13,2,90.40333333333334,1338.0,Weekend
2013-04-14,996606.0,7.678,,6,14,1,89.57666666666667,525.0,Weekend
2013-04-15,996606.0,6.079,,0,0,0,88.75,1804.0,Work
2013-04-16,996606.0,6.608,,1,1,14,88.73,1757.0,Work
2013-04-17,996606.0,7.312,,2,2,13,86.65,1807.0,Work
2013-04-18,996606.0,8.047,,3,3,12,87.83,1607.0,Work
2013-04-19,996606.0,10.063,,4,4,11,88.04,1737.0,Work
2013-04-20,996606.0,7.714,,5,5,10,88.29666666666667,1335.0,Weekend
2013-04-21,996606.0,5.248,,6,6,9,88.55333333333334,505.0,Weekend
2013-04-22,996606.0,8.98,,0,7,8,88.81,1838.0,Work
2013-04-23,996606.0,3.904,,1,8,7,89.21,1697.0,Work
2013-04-24,996606.0,9.728,,2,9,6,91.07,1921.0,Work
2013-04-25,996606.0,4.529,,3,10,5,93.27,1660.0,Work
2013-04-26,996606.0,5.081,,4,11,4,92.63,1843.0,Work
2013-04-27,996606.0,11.179,,5,12,3,93.11666666666666,1314.0,Weekend
2013-04-28,996606.0,4.616,,6,13,2,93.60333333333332,517.0,Weekend
2013-04-29,996606.0,6.195,,0,14,1,94.09,1653.0,Holiday
2013-04-30,996606.0,5.519,,1,0,0,93.22,1897.0,Work
2013-05-01,996606.0,2.076,,2,1,14,90.74,613.0,Holiday
2013-05-02,996606.0,3.831,,3,2,13,93.7,1763.0,Work
2013-05-03,996606.0,4.971,,4,3,12,95.25,1847.0,Work
2013-05-04,996606.0,11.022,,5,4,11,95.43333333333334,1347.0,Weekend
2013-05-05,996606.0,10.816,,6,5,10,95.61666666666667,538.0,Weekend
2013-05-06,996606.0,8.001,,0,6,9,95.8,1834.0,Work
2013-05-07,996606.0,4.47,,1,7,8,95.28,1792.0,Work
2013-05-08,996606.0,6.162,,2,8,7,96.24,1904.0,Work
2013-05-09,996606.0,3.109,,3,9,6,96.09,1813.0,Work
2013-05-10,996606.0,7.318,,4,10,5,95.81,1959.0,Work
2013-05-11,996606.0,21.832,,5,11,4,95.46,1488.0,Holiday
2013-05-12,996606.0,3.117,,6,12,3,95.11,549.0,Holiday
2013-05-13,996606.0,3.002,,0,13,2,94.76,1784.0,Work
2013-05-14,996606.0,1.938,,1,14,1,93.96,1747.0,Work
2013-05-15,996606.0,7.578,,2,0,0,93.95,1887.0,Work
2013-05-16,996606.0,7.999,,3,1,15,94.85,1781.0,Work
2013-05-17,996606.0,10.665,,4,2,14,95.72,1883.0,Work
2013-05-18,996606.0,7.039,,5,3,13,95.91,1299.0,Weekend
2013-05-19,996606.0,0.998,,6,4,12,96.1,497.0,Weekend
2013-05-20,996606.0,7.55,,0,5,11,96.29,1732.0,Work
2013-05-21,996606.0,5.024,,1,6,10,95.55,1692.0,Work
2013-05-22,996606.0,4.675,,2,7,9,93.98,1865.0,Work
2013-05-23,996606.0,3.65,,3,8,8,94.12,1753.0,Work
2013-05-24,996606.0,3.787,,4,9,7,93.84,496.0,Holiday
2013-05-25,996606.0,5.114,,5,10,6,94.0425,1107.0,Weekend
2013-05-26,996606.0,0.0,,6,11,5,94.245,411.0,Weekend
2013-05-27,996606.0,6.252,,0,12,4,94.4475,1748.0,Work
2013-05-28,996606.0,9.669,,1,13,3,94.65,1787.0,Work
2013-05-29,996606.0,7.109,,2,14,2,93.13,1815.0,Work
2013-05-30,996606.0,4.651,,3,15,1,93.57,1737.0,Work
2013-05-31,996606.0,7.993,,4,0,0,91.93,1818.0,Work
2013-06-01,996606.0,5.952,,5,1,14,92.42333333333332,1357.0,Weekend
2013-06-02,996606.0,0.644,,6,2,13,92.91666666666666,430.0,Weekend
2013-06-03,996606.0,2.635,,0,3,12,93.41,1882.0,Work
2013-06-04,996606.0,5.798,,1,4,11,93.36,1785.0,Work
2013-06-05,996606.0,8.588,,2,5,10,93.66,1845.0,Work
2013-06-06,996606.0,8.174,,3,6,9,94.71,1815.0,Work
2013-06-07,996606.0,7.191,,4,7,8,96.11,1885.0,Work
2013-06-08,996606.0,6.186,,5,8,7,96.01333333333334,1279.0,Weekend
2013-06-09,996606.0,6.388,,6,9,6,95.91666666666666,510.0,Weekend
2013-06-10,996606.0,5.386,,0,10,5,95.82,1826.0,Work
2013-06-11,996606.0,5.904,,1,11,4,95.5,1855.0,Work
2013-06-12,996606.0,6.608,,2,12,3,95.98,1863.0,Work
2013-06-13,996606.0,6.454,,3,13,2,96.66,1711.0,Work
2013-06-14,996606.0,13.056,,4,14,1,97.83,1856.0,Work
2013-06-15,996606.0,5.968,,5,0,0,97.84,1356.0,Weekend
2013-06-16,996606.0,1.945,,6,1,14,97.85,541.0,Weekend
2013-06-17,996606.0,4.128,,0,2,13,97.86,1786.0,Work
2013-06-18,996606.0,5.216,,1,3,12,98.46,1775.0,Work
2013-06-19,996606.0,7.544,,2,4,11,98.24,1783.0,Work
2013-06-20,996606.0,6.413,,3,5,10,94.89,1629.0,Work
2013-06-21,996606.0,6.299,,4,6,9,93.81,1700.0,Work
2013-06-22,996606.0,8.817,,5,7,8,94.23,1295.0,Weekend
2013-06-23,996606.0,5.618,,6,8,7,94.65,493.0,Weekend
2013-06-24,996606.0,7.401,,0,9,6,95.07,1820.0,Work
2013-06-25,996606.0,4.624,,1,10,5,95.25,1718.0,Work
2013-06-26,996606.0,4.705,,2,11,4,95.47,1856.0,Work
2013-06-27,996606.0,9.703,,3,12,3,97.0,1671.0,Work
2013-06-28,996606.0,6.871,,4,13,2,96.36,1808.0,Work
2013-06-29,996606.0,6.662,,5,14,1,96.88666666666668,1264.0,Weekend
2013-06-30,996606.0,8.126,,6,0,0,97.41333333333333,482.0,Weekend
2013-07-01,996606.0,7.604,,0,1,14,97.94,1797.0,Work
2013-07-02,996606.0,3.062,,1,2,13,99.65,1778.0,Work
2013-07-03,996606.0,14.259,,2,3,12,101.92,1899.0,Work
2013-07-04,996606.0,3.483,,3,4,11,102.505,1792.0,Work
2013-07-05,996606.0,6.529,,4,5,10,103.09,1804.0,Work
2013-07-06,996606.0,6.041,,5,6,9,103.07,1186.0,Weekend
2013-07-07,996606.0,5.206,,6,7,8,103.05,485.0,Weekend
2013-07-08,996606.0,10.634,,0,8,7,103.03,1826.0,Work
2013-07-09,996606.0,2.514,,1,9,6,103.46,1804.0,Work
2013-07-10,996606.0,9.783,,2,10,5,106.41,1761.0,Work
2013-07-11,996606.0,2.947,,3,11,4,104.77,1668.0,Work
