date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type
2013-01-02,695758.0,20.237,,2,2,13,93.14,2111.0,Work
2013-01-03,695758.0,4.171,,3,3,12,92.97,1833.0,Work
2013-01-04,695758.0,15.104,,4,4,11,93.12,1863.0,Work
2013-01-05,695758.0,12.842,,5,5,10,93.14666666666668,1509.0,Weekend
2013-01-06,695758.0,0.0,,6,6,9,93.17333333333336,520.0,Weekend
2013-01-07,695758.0,0.0,,0,7,8,93.2,1807.0,Work
2013-01-08,695758.0,12.079,,1,8,7,93.21,1869.0,Work
2013-01-09,695758.0,14.111,,2,9,6,93.08,1910.0,Work
2013-01-10,695758.0,8.59,,3,10,5,93.81,1679.0,Work
2013-01-11,695758.0,19.664,,4,11,4,93.6,1813.0,Work
2013-01-12,695758.0,11.111,,5,12,3,93.82333333333332,1473.0,Weekend
2013-01-13,695758.0,6.146,,6,13,2,94.04666666666664,542.0,Weekend
2013-01-14,695758.0,18.788,,0,14,1,94.27,1780.0,Work
2013-01-15,695758.0,10.083,,1,0,0,93.26,1680.0,Work
2013-01-16,695758.0,13.101,,2,1,15,94.28,1933.0,Work
2013-01-17,695758.0,6.461,,3,2,14,95.49,1786.0,Work
2013-01-18,695758.0,12.613,,4,3,13,95.61,1745.0,Work
2013-01-19,695758.0,8.001,,5,4,12,95.73,1389.0,Weekend
2013-01-20,695758.0,7.576,,6,5,11,95.85,507.0,Weekend
2013-01-21,695758.0,18.164,,0,6,10,95.97,1770.0,Work
2013-01-22,695758.0,8.63,,1,7,9,96.09,1762.0,Work
2013-01-23,695758.0,15.607,,2,8,8,95.06,1873.0,Work
2013-01-24,695758.0,6.372,,3,9,7,95.35,1616.0,Work
2013-01-25,695758.0,17.402,,4,10,6,95.15,1770.0,Work
2013-01-26,695758.0,9.329,,5,11,5,95.41666666666669,1295.0,Weekend
2013-01-27,695758.0,4.391,,6,12,4,95.68333333333334,542.0,Weekend
2013-01-28,695758.0,11.243,,0,13,3,95.95,1738.0,Work
2013-01-29,695758.0,6.728,,1,14,2,97.62,1772.0,Work
2013-01-30,695758.0,12.242,,2,15,1,97.98,1877.0,Work
2013-01-31,695758.0,13.699,,3,0,0,97.65,1707.0,Work
2013-02-01,695758.0,9.595,,4,1,14,97.46,1806.0,Work
2013-02-02,695758.0,15.618,,5,2,13,97.04333333333332,1377.0,Weekend
2013-02-03,695758.0,2.438,,6,3,12,96.62666666666668,531.0,Weekend
2013-02-04,695758.0,10.115,,0,4,11,96.21,1714.0,Work
2013-02-05,695758.0,15.132,,1,5,10,96.68,1775.0,Work
2013-02-06,695758.0,14.623,,2,6,9,96.44,1853.0,Work
2013-02-07,695758.0,8.728,,3,7,8,95.84,1727.0,Work
2013-02-08,695758.0,17.797,,4,8,7,95.71,1878.0,Work
2013-02-09,695758.0,5.149,,5,9,6,96.14333333333332,1104.0,Weekend
2013-02-10,695758.0,2.642,,6,10,5,96.57666666666668,374.0,Weekend
2013-02-11,695758.0,0.0,,0,11,4,97.01,396.0,Holiday
2013-02-12,695758.0,3.348,,1,12,3,97.48,487.0,Holiday
2013-02-13,695758.0,15.024,,2,13,2,97.03,1921.0,Work
2013-02-14,695758.0,12.546,,3,14,1,97.3,2119.0,Work
2013-02-15,695758.0,14.51,,4,0,0,95.95,1787.0,Work
2013-02-16,695758.0,11.036,,5,1,12,96.135,1263.0,Weekend
2013-02-17,695758.0,2.424,,6,2,11,96.32,399.0,Weekend
2013-02-18,695758.0,11.479,,0,3,10,96.505,1742.0,Work
2013-02-19,695758.0,10.693,,1,4,9,96.69,1806.0,Work
2013-02-20,695758.0,7.054,,2,5,8,94.92,1835.0,Work
2013-02-21,695758.0,14.411,,3,6,7,92.79,1756.0,Work
2013-02-22,695758.0,9.121,,4,7,6,93.12,1805.0,Work
2013-02-23,695758.0,12.605,,5,8,5,92.99333333333334,1448.0,Weekend
2013-02-24,695758.0,0.861,,6,9,4,92.86666666666667,512.0,Weekend
2013-02-25,695758.0,6.373,,0,10,3,92.74,1760.0,Work
2013-02-26,695758.0,8.021,,1,11,2,92.63,1804.0,Work
2013-02-27,695758.0,21.227,,2,12,1,92.84,1845.0,Work
2013-02-28,695758.0,8.759,,3,0,0,92.03,1763.0,Work
2013-03-01,695758.0,9.773,,4,1,14,90.71,1916.0,Work
2013-03-02,695758.0,8.151,,5,2,13,90.51666666666668,1332.0,Weekend
2013-03-03,695758.0,5.978,,6,3,12,90.32333333333332,547.0,Weekend
2013-03-04,695758.0,9.697,,0,4,11,90.13,1841.0,Work
2013-03-05,695758.0,8.761,,1,5,10,90.88,1750.0,Work
2013-03-06,695758.0,9.426,,2,6,9,90.47,1929.0,Work
2013-03-07,695758.0,10.841,,3,7,8,91.53,1751.0,Work
2013-03-08,695758.0,13.887,,4,8,7,92.01,1960.0,Work
2013-03-09,695758.0,9.924,,5,9,6,92.03,1337.0,Weekend
2013-03-10,695758.0,5.014,,6,10,5,92.05,538.0,Weekend
2013-03-11,695758.0,15.58,,0,11,4,92.07,1874.0,Work
2013-03-12,695758.0,7.321,,1,12,3,92.44,1734.0,Work
2013-03-13,695758.0,8.649,,2,13,2,92.47,1841.0,Work
2013-03-14,695758.0,7.793,,3,14,1,93.03,1751.0,Work
2013-03-15,695758.0,16.717,,4,0,0,93.49,1812.0,Work
2013-03-16,695758.0,7.285,,5,1,15,93.56333333333332,1238.0,Weekend
2013-03-17,695758.0,2.078,,6,2,14,93.63666666666666,561.0,Weekend
2013-03-18,695758.0,5.186,,0,3,13,93.71,1696.0,Work
